date,team,points,mp
3/15/2014,Everton,48,27
3/15/2014,Newcastle Utd,43,28
3/15/2014,Southampton,42,29
3/15/2014,West Ham,31,28
3/15/2014,Aston Villa,31,28
3/15/2014,Stoke City,31,29
3/15/2014,Hull City,30,28
3/15/2014,Swansea City,29,28
3/15/2014,Norwich City,29,29
3/15/2014,Crystal Palace,27,28
3/15/2014,West Brom,25,28
3/15/2014,Cardiff City,25,29
3/15/2014,Sunderland,24,26
3/15/2014,Fulham,21,29
3/16/2014,Chelsea,66,30
3/16/2014,Manchester City,60,27
3/16/2014,Liverpool,59,28
3/16/2014,Arsenal,59,28
3/16/2014,Tottenham,53,29
3/16/2014,Everton,51,28
3/16/2014,Manchester Utd,48,28
3/16/2014,Southampton,45,30
3/16/2014,Newcastle Utd,43,29
3/16/2014,Aston Villa,34,29
3/16/2014,Stoke City,34,30
3/16/2014,West Ham,31,29
3/16/2014,Hull City,30,29
3/16/2014,Swansea City,29,29
3/16/2014,Norwich City,29,30
3/16/2014,West Brom,28,29
3/16/2014,Crystal Palace,28,29
3/16/2014,Sunderland,25,27
3/16/2014,Cardiff City,25,30
3/16/2014,Fulham,24,30
3/22/2014,Chelsea,66,30
3/22/2014,Liverpool,62,29
3/22/2014,Arsenal,62,29
3/22/2014,Manchester City,60,27
3/22/2014,Tottenham,53,30
3/22/2014,Everton,51,28
3/22/2014,Manchester Utd,48,29
3/22/2014,Southampton,45,30
3/22/2014,Newcastle Utd,43,29
3/22/2014,Aston Villa,34,29
3/22/2014,Stoke City,34,30
3/22/2014,West Ham,31,29
3/22/2014,Hull City,30,29
3/22/2014,Swansea City,29,29
3/22/2014,Norwich City,29,30
3/22/2014,West Brom,28,29
3/22/2014,Crystal Palace,28,29
3/22/2014,Sunderland,25,27
3/22/2014,Cardiff City,25,30
3/22/2014,Fulham,24,30
3/23/2014,Chelsea,69,31
3/23/2014,Liverpool,65,30
3/23/2014,Manchester City,63,28
3/23/2014,Arsenal,62,30
3/23/2014,Everton,54,29
3/23/2014,Tottenham,53,30
3/23/2014,Manchester Utd,51,30
